id,position,name,nombre_cadena,score,ratings,category,price_range,full_address,zip_code,lat,lng,estado,category_list,url_logo
14619,202,"Papa Johns (617 128th Street SW, Suite 105)",Papa John’s,4.2,37,"Pizza, Wings, Desserts, Sandwiches",$,"617 128th St SW, Everett, WA, 98204",98204,47.8823892,-122.2420244,WA,"'Pizza', 'Wings', 'Desserts', 'Sandwiches'",
14621,48,Firehouse Subs (221 SE Everett Mall Way),Firehouse Subs,4.7,126,Sandwich,$,"221 SE, Everett, WA, 98208",98208,47.9086804,-122.2290502,WA,'Sandwich',
14662,129,Denny's (18824 State Rt 2),Denny's,4.2,42,"American, Breakfast and Brunch, Coffee and Tea, Diner, Desserts, Salads, Steak, Sandwich, Healthy",$$,"18824 State Rt 2, Monroe, WA, 98272",98272,47.8605168,-121.9778479,WA,"'American', 'Breakfast and Brunch', 'Coffee and Tea', 'Diner', 'Desserts', 'Salads', 'Steak', 'Sandwich', 'Healthy'",
14663,126,"Papa Johns (5129 Evergreen Way, Suite 6)",Papa John’s,4.6,133,"Pizza, Wings, Sandwiches, Desserts, American, Traditional American, Fast Food",$,"5129 Evergreen Way, Everett, WA, 98203",98203,47.949518,-122.213491,WA,"'Pizza', 'Wings', 'Sandwiches', 'Desserts', 'American', 'Traditional American', 'Fast Food'",
14673,15,Wendy's  (819 91St Avenue Ne),Wendy’s,4.8,93,"American, Burgers, Fast Food",$,"819 91St Avenue Ne, Lake Stevens, WA, 98258",98258,48.00439,-122.107544,WA,"'American', 'Burgers', 'Fast Food'",https://1000marcas.net/wp-content/uploads/2020/10/Wendys-logo-tumb.jpg
14676,157,Applebee's (Mill Creek),Applebee's,4.5,134,"American, Bar Food, BBQ, burger, Chicken Strips, Comfort Food, Dinner, pasta, salad, Sandwich, Soup, Steak, Traditional American, wings, Family Meals",$$,"5710 134Th Pl Se, Everett, WA, 98208",98208,47.8764443,-122.1557172,WA,"'American', 'Bar Food', 'BBQ', 'burger', 'Chicken Strips', 'Comfort Food', 'Dinner', 'pasta', 'salad', 'Sandwich', 'Soup', 'Steak', 'Traditional American', 'wings', 'Family Meals'",
14684,126,Subway (13501 100th Ave NE),Subway,4.5,13,"American, Sandwich, Salads, Vegetarian Friendly",$,"13501 100th Ave NE, Kirkland, WA, 98034",98034,47.72123,-122.2082671,WA,"'American', 'Sandwich', 'Salads', 'Vegetarian Friendly'",https://1000marcas.net/wp-content/uploads/2020/03/Subway-Logo-tumb.jpg
14686,111,Starbucks (Murphys Corner/Frd Myr),Starbucks,4.8,118,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery, Group Friendly",$,"2130 132nd St SE, Mill Creek, WA, 98012",98012,47.8776838,-122.2031127,WA,"'Cafe', 'Coffee &amp; Tea', 'Breakfast and Brunch', 'Bakery', 'Group Friendly'",https://1000marcas.net/wp-content/uploads/2019/12/Starbucks-Logo-tm.jpg
14694,32,Dairy Queen Grill &amp; Chill (230 128th St SW),Dairy Queen Grill &amp; Chill,4.5,149,"Ice Cream + Frozen Yogurt, Burgers, Chicken, American, Group Friendly",$,"230 128th St SW, Everett, WA, 98204",98204,47.8814922,-122.2377089,WA,"'Ice Cream + Frozen Yogurt', 'Burgers', 'Chicken', 'American', 'Group Friendly'",
14695,26,MOD Pizza (Mukilteo),MOD Pizza,4.7,103,"Pizza, Desserts, Salads, American, Healthy, Vegetarian Friendly, Kids Friendly",$,"11706, Mukilteo, WA, 98275",98275,47.8904778,-122.2871076,WA,"'Pizza', 'Desserts', 'Salads', 'American', 'Healthy', 'Vegetarian Friendly', 'Kids Friendly'",
14696,21,Taco Bell (616 State Street),Taco Bell,4.3,200,"Burritos, Fast Food, Mexican, Group Friendly",$,"616 State Street, Marysville, WA, 98270",98270,48.054291,-122.176593,WA,"'Burritos', 'Fast Food', 'Mexican', 'Group Friendly'",https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Taco_Bell_2016.svg/1280px-Taco_Bell_2016.svg.png
14697,20,McDonald's® (Everett/Colby Av),McDonald’s,4.4,200,"American, Fast Food, Burgers, Group Friendly",$,"4020 Colby Ave, Everett, WA, 98201",98201,47.96372,-122.2084,WA,"'American', 'Fast Food', 'Burgers', 'Group Friendly'",https://1000marcas.net/wp-content/uploads/2019/11/McDonalds-logo-tumb.jpg
14714,21,McDonald's® (Everett-Broadway),McDonald’s,4.5,200,"American, Fast Food, Burgers",$,"2001, Everett, WA, 98201",98201,47.982256,-122.2025746,WA,"'American', 'Fast Food', 'Burgers'",https://1000marcas.net/wp-content/uploads/2019/11/McDonalds-logo-tumb.jpg
14715,16,Starbucks (Mill Creek Town Center),Starbucks,4.9,178,"Cafe, Coffee &amp; Tea, Breakfast and Brunch, Bakery",$,"15517 Main St, Mill Creek, WA, 98012",98012,47.8569993,-122.2202212,WA,"'Cafe', 'Coffee &amp; Tea', 'Breakfast and Brunch', 'Bakery'",https://1000marcas.net/wp-content/uploads/2019/12/Starbucks-Logo-tm.jpg
14723,24,"Pizza Hut (5006 132nd St. SE, Bldg C Suite 2)",Pizza Hut,4.3,27,"Fast Food, pizza, wings, Family Meals",$$$,"5006 132nd St. SE Bldg C, Everett, WA, 98208",98208,47.87742,-122.16415,WA,"'Fast Food', 'pizza', 'wings', 'Family Meals'",https://upload.wikimedia.org/wikipedia/commons/5/5d/Pizza_Hut_classic_logo.svg
14726,23,"Baskin-Robbins (11014 19th Ave Se, Ste #9)",Baskin-Robbins,4.3,46,"Desserts, Ice Cream + Frozen Yogurt, Comfort Food",$,"11014 19th Ave Se Ste #9, Everett, WA, 98208",98208,47.898534,-122.2086342,WA,"'Desserts', 'Ice Cream + Frozen Yogurt', 'Comfort Food'",
14727,20,Popeyes (6504 Evergreen Way),Popeyes,4.5,200,"American, Chicken, Family Meals, Fried Chicken, Comfort Food",$,"6504 Evergreen Way, Everett, WA, 98203",98203,47.9380626,-122.2191679,WA,"'American', 'Chicken', 'Family Meals', 'Fried Chicken', 'Comfort Food'",https://1000marcas.net/wp-content/uploads/2021/05/Popeyes-logo-tm.png
14732,9,Burger King (2424 North Broadway),Burger King,4.6,97,"American, burger, Fast Food, Family Meals",$,"2424 North Broadway, Everett, WA, 98201",98201,47.9849451,-122.2017814,WA,"'American', 'burger', 'Fast Food', 'Family Meals'",https://1000marcas.net/wp-content/uploads/2019/12/Burger-King-Logo-tumb.jpg
14735,1,Taco Bell (1100 Avenue D),Taco Bell,4.5,70,"Burritos, Fast Food, Mexican",$,"1100 Avenue D, Snohomish, WA, 98290",98290,47.924929,-122.0980918,WA,"'Burritos', 'Fast Food', 'Mexican'",https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Taco_Bell_2016.svg/1280px-Taco_Bell_2016.svg.png
14740,200,Papa Murphy's  (517 State Route 9 NE),Papa Murphy’s,4.9,10,"Pizza, Salads, Desserts, Healthy",$,"725 WA-9, Lake Stevens, WA, 98258",98258,48.0038986,-122.1050767,WA,"'Pizza', 'Salads', 'Desserts', 'Healthy'",
14743,26,Chipotle Mexican Grill (515 Se Everett Mall Way),Chipotle Mexican Grill,4.5,200,"Healthy, Mexican",$,"515 Se, Everett, WA, 98208",98208,47.9095983,-122.2252507,WA,"'Healthy', 'Mexican'",https://1000marcas.net/wp-content/uploads/2021/05/Chipotle-logo-1.png
